city,site.ID,plant,root.1.L,root.2.L,root.3.L,root.4.L,root.5.L,root.1.nod,root.2.nod,root.3.nod,root.4.nod,root.5.nod,total.root.L,total.nod,nod.density
Toronto,site.24,8,3.1,5.6,2.2,0,0,2,0,0,0,0,10.9,2,0.183486239
Toronto,site.24,9,1.4,2,3.6,0,0,0,0,1,0,0,7,1,0.142857143
Toronto,site.24,10,1.9,3.4,0,0,0,0,2,0,0,0,5.3,2,0.377358491
Toronto,site.25,1,1.9,1.7,1.1,1.4,1,1,2,0,0,1,7.1,4,0.563380282
Toronto,site.25,2,4,4.2,5.8,0,0,0,3,1,0,0,14,4,0.285714286
Toronto,site.25,3,2.6,2.6,4.5,0,0,5,0,3,0,0,9.7,8,0.824742268
Toronto,site.25,4,2.9,3.6,1.4,0,0,0,0,0,0,0,7.9,0,0
Toronto,site.25,5,4.4,2.4,3.9,0,0,4,1,0,0,0,10.7,5,0.46728972
Toronto,site.25,6,1.9,2.5,3.9,2.2,0,0,0,1,0,0,10.5,1,0.095238095
Toronto,site.25,7,1.7,1.6,1.3,3.1,5.1,1,0,3,3,3,12.8,10,0.78125
Toronto,site.25,8,1.9,3,2.5,2.8,0,2,3,2,1,0,10.2,8,0.784313725
Toronto,site.25,9,1.4,1.1,2.3,2.6,3.2,0,2,2,1,3,10.6,8,0.754716981
Toronto,site.25,10,2.3,4.2,4.7,0,0,0,2,1,0,0,11.2,3,0.267857143
Toronto,site.26,1,1,1.5,3.7,2.1,7,2,1,1,1,0,15.3,5,0.326797386
Toronto,site.26,2,1.2,2.9,2.6,5.2,0,1,1,2,3,0,11.9,7,0.588235294
Toronto,site.26,3,1.1,1.5,1.4,2.1,2.9,0,0,0,1,0,9,1,0.111111111
Toronto,site.26,4,1,1.3,1.2,2.6,3,0,0,0,0,0,9.1,0,0
Toronto,site.26,5,2.4,3,3.4,2,4.7,1,0,1,0,2,15.5,4,0.258064516
Toronto,site.26,6,3.5,4.3,0,0,0,7,8,0,0,0,7.8,15,1.923076923
Toronto,site.26,7,3,4,2,1.8,0,1,0,3,2,0,10.8,6,0.555555556
